Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Daily_Return,Cumulative_Return,Position,Strategy_Return,Strategy_Cumulative
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
Date,,,,,,,,,,,,
2018-01-02,40.38099670410156,40.390375462792754,39.67774003409455,39.888719181265685,102223600,,,,,0,,
2018-01-03,40.373958587646484,40.91781205077507,40.31066807189711,40.44428495987144,118071600,,,-0.00017429278694258699,0.9998257072130574,0,-0.0,1.0
2018-01-04,40.56150817871094,40.664653082783424,40.33881090507213,40.446641612457654,89738400,,,0.004645310928758972,1.0044702084976285,0,0.0,1.0
2018-01-05,41.02330017089844,41.11003400377929,40.56618411295515,40.65760732454381,94640000,,,0.01138498080872341,1.0159060825443085,0,0.0,1.0
2018-01-08,40.87093734741211,41.1663038787812,40.77247826000714,40.87093734741211,82271200,,,-0.003714055740313471,1.0121329507268153,0,-0.0,1.0
2018-01-09,40.866249084472656,41.037373887540824,40.65058411611103,40.91782153092313,86336000,,,-0.00011470896543430698,1.0120168500031554,0,-0.0,1.0
2018-01-10,40.85686111450195,40.85920759232445,40.55446236207534,40.59197023775632,95839600,,,-0.00022972428791534494,1.0117843651529301,0,-0.0,1.0
2018-01-11,41.088951110839844,41.13818066161079,40.90376172392825,40.927201471527034,74670800,,,0.005680563557916463,1.0175318705460874,0,0.0,1.0
2018-01-12,41.513240814208984,41.57653491672932,41.175677036698445,41.29991876356713,101672400,,,0.010326126413511938,1.0280390332711236,0,0.0,1.0
2018-01-16,41.30226135253906,42.05240102251029,41.290539693628176,41.703115617875326,118263600,,,-0.005082220937993043,1.022814311771159,0,-0.0,1.0
2018-01-17,41.984432220458984,42.01959362953672,41.03972420911403,41.29289350837181,137547200,,,0.0165165500769362,1.0397076755709345,0,0.0,1.0
2018-01-18,42.02192306518555,42.218837623766504,41.7851613070516,42.047709282562344,124773600,,,0.0008929701497377707,1.0406361034896725,0,0.0,1.0
2018-01-19,41.834407806396484,42.096955888380585,41.588267191061725,41.86956921846602,129700400,,,-0.00446231978717837,1.0359924524138184,0,-0.0,1.0
2018-01-22,41.49214553833008,41.67499199522446,41.398379408570904,41.56247192412374,108434400,,,-0.008181358025918462,1.0275166272484717,0,-0.0,1.0
2018-01-23,41.50152587890625,42.06413345823558,41.44995700499302,41.56247709007928,130756400,,,0.0002260750909472975,1.0277489231634267,0,0.0,1.0
2018-01-24,40.84046173095703,41.56247238433268,40.60135344739043,41.55075072374585,204420400,,,-0.0159286709090668,1.0113782487892087,0,-0.0,1.0
2018-01-25,40.11140823364258,41.0115757292618,39.97544487592702,40.90843086637774,166116000,,,-0.017851255015607026,0.9933238777528345,0,-0.0,1.0
2018-01-26,40.20519256591797,40.32005913837438,39.86528580601339,40.32005913837438,156572000,,,0.0023380962276147166,0.995646364564208,0,0.0,1.0
2018-01-29,39.37300491333008,39.888725842062925,39.164372209467516,39.888725842062925,202561600,,,-0.020698511796044428,0.975037966542587,0,-0.0,1.0
2018-01-30,39.140926361083984,39.2346924959149,38.60879442469922,38.80336255257468,184192800,40.86718463897705,,-0.005894357130144301,0.9692907445523353,0,-0.0,1.0
2018-01-31,39.24874496459961,39.48551028405784,39.03073715866626,39.11747098550671,129915600,40.81057205200195,,0.0027546257469988067,0.9719607777936068,0,0.0,1.0
2018-02-01,39.330806732177734,39.52771776961774,39.09169842845836,39.18781104564297,188923200,40.75841445922852,,0.0020908125253977783,0.973992965562013,0,0.0,1.0
2018-02-02,37.62421798706055,39.10105716549346,37.5304518963763,38.91352140717788,346375200,40.611549949646,,-0.04339063667669385,0.9317307906676561,0,-0.0,1.0
2018-02-05,36.684226989746094,38.41658308628793,36.56936040334139,37.29606066264922,290954000,40.39459629058838,,-0.02498366870077484,0.9084527372753044,0,-0.0,1.0
2018-02-06,38.21730422973633,38.37905380601022,36.10050233360357,36.29507040528465,272975200,40.26191463470459,,0.041791182908631486,0.9464180517826236,0,0.0,1.0
2018-02-07,37.399192810058594,38.304049981605374,37.28901920878408,38.23138068893653,206434400,40.088561820983884,,-0.02140683222342965,0.9261582393348878,0,-0.0,1.0
2018-02-08,36.37008285522461,37.74143454751271,36.34195373807335,37.57499559148965,217562000,39.86422290802002,,-0.02751690283960362,0.9006732330490114,0,-0.0,1.0
2018-02-09,36.814945220947266,37.16329865334211,35.362684244764615,36.970293332303825,282690400,39.65052261352539,,0.01223154666689874,0.911689859730677,0,0.0,1.0
2018-02-12,38.297813415527344,38.575553796967,37.073862281325994,37.306884493194126,243278000,39.48975124359131,,0.04027897327241825,0.9484117912235036,0,0.0,1.0
2018-02-13,38.68146514892578,38.77796960748867,38.048306830765405,38.1189199368244,130196800,39.35871143341065,,0.010017588451744164,0.9579125902307621,0,0.0,1.0
2018-02-14,39.394649505615234,39.434662760544875,38.33781974683445,38.375476956953584,162579600,39.22922229766846,,0.018437366680492895,0.9755739759047074,0,0.0,1.0
2018-02-15,40.71745681762695,40.74099212471423,39.77831079062471,39.96425516020043,204588800,39.163998985290526,,0.03357834956300776,1.008332139892209,0,0.0,1.0
2018-02-16,40.58563995361328,41.14818868716067,40.430295449475395,40.56916559945333,160704400,39.10156059265137,,-0.0032373550392421624,1.005067810757899,0,-0.0,1.0
2018-02-20,40.44913864135742,41.01638886881012,40.347925665247075,40.49621285724324,135722000,39.04941024780273,,-0.0033632908686883622,1.0016874753675644,0,-0.0,1.0
2018-02-21,40.26553726196289,40.98342696716154,40.25141176812373,40.67979529295451,149886400,38.987610816955566,,-0.004539067717175271,0.9971407480854247,0,-0.0,1.0
2018-02-22,40.60212707519531,40.94341959897024,40.41618268219754,40.437365538703844,123967600,38.97569408416748,,0.008359253001955613,1.00547609987723,0,0.0,1.0
2018-02-23,41.30825424194336,41.34355900553718,40.84691831230039,40.877518168436644,135249600,39.03553638458252,,0.017391383595255938,1.022962720426057,0,0.0,1.0
2018-02-26,42.125003814697266,42.22386074238521,41.475371036376885,41.5083233456062,152648800,39.131526947021484,,0.019772067053964282,1.0431888079280267,0,0.0,1.0
2018-02-27,41.98847579956055,42.480407863885574,41.934340645836585,42.155593350010335,155712400,39.26230049133301,,-0.0032410208373461202,1.0398078112642457,0,-0.0,1.0
2018-02-28,41.924922943115234,42.51335944789299,41.908448588577784,42.193249845632636,151128400,39.40150032043457,,-0.0015135785530461243,1.0382339804618264,0,-0.0,1.0
2018-03-01,41.19056701660156,42.315657645503855,40.639791153890215,42.02379176340598,195208000,39.49859142303467,,-0.017515975581161247,1.020048299412525,0,-0.0,1.0
2018-03-02,41.47535705566406,41.49653990627128,40.59034632063066,40.67272886170022,153816000,39.60581893920899,,0.006913962581474475,1.0271008751859598,0,0.0,1.0
2018-03-05,41.61894989013672,41.83549415043722,41.07758744361929,41.23999653672775,113605600,39.805555534362796,,0.0034621241302381645,1.0306568259101299,0,0.0,1.0
2018-03-06,41.58363342285156,41.955525751096125,41.45653270912497,41.875499242767106,95154000,40.05052585601807,,-0.0008485669960049957,1.0297822445434552,0,-0.0,1.0
2018-03-07,41.19762420654297,41.390633141156364,41.01874076764662,41.17644135026552,126814000,40.199541854858396,,-0.00928271977543138,1.0202230645376436,0,-0.0,1.0
2018-03-08,41.647186279296875,41.68955198741114,41.20703688451729,41.30353775017703,95096400,40.41194152832031,,0.01091233005330694,1.0313560753458746,0,0.0,1.0
2018-03-09,42.36271286010742,42.36742135699794,41.75309360366023,41.88725882855885,128740800,40.71157302856445,,0.017180670406208076,1.0490754641478324,0,0.0,1.0
2018-03-12,42.77227020263672,42.92997074481642,42.416855869503166,42.43568267590063,128828400,41.00943927764892,,0.00966787334611352,1.059217792865729,0,0.0,1.0
2018-03-13,42.36036682128906,43.191238867493816,42.188544369842795,42.97704712067932,126774000,41.21256694793701,,-0.00963015008079382,1.0490173665521847,0,-0.0,1.0
2018-03-14,42.00025939941406,42.48983917558695,41.8519721984558,42.44276495685608,117473600,41.378506660461426,40.47165252685547,-0.008501045880793034,1.0400996217893759,1,-0.0,1.0
2018-03-15,42.04966735839844,42.42391567085636,41.91315326229252,42.014362607945365,90975200,41.511257553100585,40.505025939941405,0.0011763727103328847,1.0413231666004765,1,0.0011763727103328847,1.0011763727103329
2018-03-16,41.901390075683594,42.16029999793045,41.80723807452251,42.049673641273436,157618800,41.57045421600342,40.53557456970215,-0.0035262415146127823,1.037651209620282,1,-0.0035262415146127823,0.9976459830214323
2018-03-19,41.26118087768555,41.77194348689476,40.87516655779076,41.73663872257275,133787200,41.60423126220703,40.549568023681644,-0.015278948904599132,1.0217969898076982,1,-0.015278948904599132,0.9824030010219692
2018-03-20,41.247047424316406,41.61423123659747,41.17643432390894,41.247047424316406,78597600,41.64412670135498,40.55404296875,-0.000342536327572307,1.021446987219285,1,-0.000342536327572307,0.9820664923058031
2018-03-21,40.312618255615234,41.21174757208427,40.31026221047947,41.1999781210021,148219600,41.6464807510376,40.54287658691406,-0.022654449883127814,0.9983066676390538,1,-0.022654449883127814,0.9598183161739622
2018-03-22,39.743011474609375,40.64449323230522,39.68416781153861,40.013690888122035,165963200,41.6035249710083,40.520411834716796,-0.014129739164895794,0.9842008548187376,1,-0.014129739164895794,0.9462563337207346
2018-03-23,38.822696685791016,39.99486147762474,38.822696685791016,39.63473853801599,164115200,41.479247093200684,40.47972854614258,-0.023156644518655067,0.9614100654887437,1,-0.023156644518655067,0.9243442121772377
2018-03-26,40.66566848754883,40.7433425324067,39.17574691770675,39.55940864461744,150164800,41.40628032684326,40.47126289367676,0.04747150401925415,1.007049647276744,1,0.04747150401925415,0.9682242221607837
